Genera,sample-15,sample-23,sample-10,sample-5,sample-85,sample-6,sample-81,sample-3,sample-86,sample-80,sample-84,sample-25,sample-87,sample-13,sample-1,sample-16,sample-9,sample-26,sample-11,sample-91,sample-82,sample-4,sample-7,sample-12,sample-21,sample-18,sample-27,sample-20,sample-32,sample-22,sample-14,avg_count
Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus,51.1596180081856,75.6832515767344,27.3865414710485,149.097815764483,317.12962962963,16.7037861915368,118.329466357309,39.0243902439024,83.8557993730408,83.3333333333335,164.651162790697,132.459970887919,286.635404454866,388.367729831145,24.6406570841889,175.270873167623,16.8421052631579,11.1809923130678,56.2659846547314,40.6885758998435,95.0775455158463,51.4198004604758,14.6163215590744,26.8965517241379,67.8971654581411,3.20256204963972,179.396092362345,32.2997416020672,21.0249671484888,73.4177215189874,27.6923076923078,91.9886408189662
Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Atopostipes,50.4774897680765,714.786264891381,81.377151799687,137.226970560304,81.5972222222223,550.111358574611,59.1647331786543,226.016260162602,26.6457680250784,58.0168776371309,148.837209302326,110.625909752547,157.092614302462,20.6378986866792,82.135523613963,42.0650095602295,46.3157894736843,55.2061495457723,78.0051150895141,31.2989045383412,61.3621038435604,59.8618572524943,26.7965895249695,46.2068965517241,106.789716545814,28.8230584467575,35.5239786856128,96.8992248062016,109.067017082786,125.316455696203,36.923076923077,112.61968374337
Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Jeotgalibaca,4.09276944065484,25.9285213735109,7.04225352112676,17.5688509021842,19.0972222222222,27.8396436525613,10.4408352668213,33.3333333333333,10.1880877742947,3.16455696202532,16.7441860465117,16.0116448326055,14.6541617819461,1.87617260787993,11.6358658453114,3.18674314850223,4.21052631578948,6.28930817610063,8.31202046035805,26.60406885759,12.8118678354687,3.83729854182656,7.30816077953716,3.44827586206897,9.22874093605801,4.80384307445957,5.32859680284192,27.1317829457365,7.88436268068331,12.6582278481012,3.07692307692308,11.7980275130656
Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; uncultured,56.6166439290587,303.433777154871,52.4256651017214,132.003798670466,87.962962962963,393.095768374165,35.9628770301624,213.821138211382,36.0501567398119,99.15611814346,125.581395348838,123.72634643377,177.608440797187,48.7804878048781,54.757015742642,63.0975143403442,71.5789473684211,55.2061495457723,104.219948849105,35.9937402190924,49.2245448415374,61.3967766692249,52.3751522533497,44.1379310344828,63.9419907712591,27.2217774219376,12.4333925399645,89.1472868217055,72.2733245729305,96.2025316455697,24.6153846153847,92.3886769663051
Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenellaceae R-7 group,197.817189631651,189.208128941836,278.560250391237,236.467236467237,126.736111111111,75.7238307349667,45.2436194895592,149.593495934959,29.7805642633229,74.8945147679326,73.4883720930233,128.093158660844,95.5451348182885,181.988742964353,221.7659137577,267.686424474188,92.6315789473685,218.728162124389,118.286445012788,206.572769953052,88.3344571813891,200.306983883346,213.154689403167,280.689655172414,279.499011206328,347.477982385909,63.943161634103,166.666666666667,270.696452036794,101.26582278481,101.538461538462,165.238225433329
Firmicutes; Clostridia; Clostridiales; Clostridiaceae 1; Clostridium sensu stricto 1,507.503410641201,512.263489838823,456.181533646322,348.053181386515,285.300925925926,255.011135857461,110.208816705336,223.577235772358,123.824451410658,178.270042194093,257.674418604652,499.272197962155,230.94958968347,1268.29268292683,262.833675564682,472.912683237732,490.526315789475,578.616352201258,659.20716112532,308.29420970266,84.2886041807148,254.029163468918,683.313032886723,271.034482758621,332.234673698088,400.320256204964,323.268206039076,251.937984496124,245.729303547963,248.101265822785,110.769230769231,362.380635937101
Firmicutes; Clostridia; Clostridiales; Clostridiaceae 1; Proteiniclasticum,6.82128240109141,90.3994393833216,21.1267605633803,25.6410256410257,36.4583333333334,70.1559020044545,11.6009280742459,120.325203252033,8.62068965517242,20.0421940928271,18.6046511627907,20.3784570596798,45.7209847596717,9.38086303939964,8.89801505817933,12.1096239643085,4.21052631578948,9.78336827393431,29.4117647058824,20.3442879499218,18.2063385030344,27.6285495011512,13.3982947624848,5.51724137931035,23.071852340145,2.40192153722979,1.77619893428064,25.8397932816538,15.7687253613666,51.8987341772152,12.3076923076923,25.4145046056776
Firmicutes; Clostridia; Clostridiales; Clostridiales vadinBB60 group; uncultured bacterium,87.9945429740791,128.241065171689,113.458528951487,126.780626780627,23.1481481481482,23.3853006681515,26.6821345707657,63.4146341463414,2.35109717868339,16.8776371308017,26.046511627907,45.1237263464338,31.0668229777257,9.38086303939964,180.698151950719,60.5481198215424,4.21052631578948,91.5443745632425,19.8209718670077,79.81220657277,33.715441672286,75.2110514198005,7.30816077953716,150.344827586207,49.439683586025,176.941553242594,19.5381882770871,72.3514211886305,141.9185282523,58.2278481012659,89.2307692307694,65.6391440045101
Firmicutes; Clostridia; Clostridiales; Family XI; Tissierella,19.7817189631651,156.271899088998,32.8638497652582,70.275403608737,18.5185185185185,135.857461024499,16.2412993039443,119.512195121951,4.70219435736677,17.9324894514768,21.3953488372093,37.8457059679768,50.4103165298946,1.87617260787993,17.7960301163586,15.9337157425111,2.10526315789474,23.0607966457023,23.0179028132992,6.25978090766824,23.6008091706001,15.3491941673062,3.65408038976858,11.0344827586207,51.417270929466,12.0096076861489,24.866785079929,23.2558139534884,36.7936925098555,56.9620253164557,27.6923076923077,34.7836816833631
Firmicutes; Clostridia; Clostridiales; Family XI; W5053,10.9140518417463,100.911002102313,3.91236306729265,22.3171889838556,19.0972222222223,35.6347438752785,8.12064965197215,59.3495934959349,3.91849529780565,13.7130801687764,13.953488372093,20.3784570596798,13.4818288393904,75.046904315197,26.694045174538,9.5602294455067,25.2631578947369,9.78336827393431,15.9846547314578,3.12989045383412,8.09170600134862,11.5118956254797,12.1802679658953,3.44827586206897,15.820698747528,5.6044835868695,3.55239786856128,15.5038759689923,10.5124835742444,18.9873417721519,12.3076923076923,19.6350172434967
Firmicutes; Clostridia; Clostridiales; Family XIII; Family XIII AD3011 group,70.9413369713507,71.4786264891381,128.325508607199,69.3257359924028,35.8796296296297,27.8396436525613,4.64037122969837,47.1544715447154,10.1880877742947,11.6033755274262,24.1860465116279,40.7569141193596,23.4466588511137,97.5609756097562,78.713210130048,42.0650095602294,27.3684210526316,83.8574423480084,65.2173913043478,28.169014084507,24.9494268374916,83.6531082118189,97.4421437271621,104.827586206897,75.8075148319051,82.4659727782226,35.5239786856128,49.0956072351422,84.0998685939554,43.0379746835443,18.4615384615385,54.4542771368818
Firmicutes; Clostridia; Clostridiales; Family XIII; Mogibacterium,16.3710777626194,15.41695865452,18.7793427230047,11.3960113960114,5.78703703703704,1.11358574610245,1.16009280742459,3.2520325203252,0.783699059561129,3.16455696202532,2.79069767441861,24.745269286754,6.44783118405628,20.6378986866792,6.84462696783025,10.1975780752071,4.21052631578948,17.4703004891684,15.3452685421995,3.12989045383412,5.39447066756575,17.6515732924021,41.4129110840439,17.9310344827586,16.479894528675,16.8134507606085,1.77619893428064,15.5038759689923,27.5952693823916,2.53164556962026,3.07692307692308,11.4584364546074
Firmicutes; Clostridia; Clostridiales; Family XIII; [Eubacterium] brachy group,37.5170532060027,31.5346881569727,43.8184663536777,22.3171889838557,10.9953703703704,11.1358574610245,6.96055684454757,17.8861788617886,7.8369905956113,4.21940928270042,5.58139534883721,10.1892285298399,19.3434935521688,16.8855534709193,36.2765229295003,15.9337157425112,2.10526315789474,25.8560447239693,22.3785166240409,23.4741784037559,3.37154416722859,34.535686876439,52.3751522533495,26.8965517241379,29.663810151615,42.4339471577262,1.77619893428064,32.2997416020672,27.5952693823916,24.0506329113925,3.07692307692308,20.9781009947594
Firmicutes; Clostridia; Clostridiales; Family XIII; [Eubacterium] nodatum group,37.5170532060027,48.3531885073582,53.9906103286385,32.7635327635328,8.68055555555557,17.8173719376392,4.64037122969837,19.5121951219512,5.48589341692791,7.38396624472575,5.58139534883722,18.9228529839884,10.5509964830012,28.1425891181989,41.0677618069815,35.0541746335246,12.6315789473684,73.3752620545074,27.4936061381074,20.3442879499218,14.8347943358058,49.1174213353799,38.9768574908649,32.4137931034483,48.121292023731,50.4403522818256,12.4333925399645,36.1757105943153,47.3061760840999,17.7215189873417,3.07692307692308,27.7395959880699
Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Acetitomaculum,104.365620736698,84.7932725998598,143.974960876369,85.9449192782527,48.6111111111111,48.9977728285078,30.1624129930395,52.0325203252033,21.1598746081505,53.7974683544305,59.5348837209303,237.263464337701,40.4454865181712,146.341463414634,86.9267624914442,48.4384958572339,65.263157894737,83.1586303284418,109.335038363171,62.5978090766824,43.1557653405259,59.094397544129,105.968331303289,59.3103448275862,77.7851021753461,68.8550840672538,88.8099467140321,55.5555555555556,155.059132720105,49.367088607595,9.23076923076925,76.946343348418
